x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.04,-0.1012E+00,0.00,-0.8995E+00,0.01,-0.5282E+00,0.01,-0.7214E+00,0.00,-0.1133E+01
0.20,0.2660E+00?,0.07,-0.3739E-01,0.02,-0.3674E+00,0.04,-0.2641E+00,0.07,-0.6575E-01
0.45,0.1914E+00,0.18,0.2518E+00,0.11,0.1548E+00,0.14,0.1796E+00,0.16,0.2395E+00
0.69,0.9288E-01,0.28,0.2605E+00,0.14,0.2318E+00,0.28,0.2819E+00,0.24,0.2955E+00
0.85,0.3316E-01?,0.38,,0.24,0.2909E+00,0.45,0.2301E+00,0.39,0.2314E+00
,,0.51,0.1612E+00,0.34,0.2785E+00,0.57,0.1547E+00,0.51,0.1708E+00
,,0.57,0.1320E+00,0.57,0.1521E+00,0.59,0.9208E-01,0.63,0.1172E+00
,,0.79,0.2471E-01,0.74,0.6961E-01,0.79,0.2429E-01,0.74,0.6825E-01
,,,,0.90,-0.5409E-01,0.90,-0.6322E-01,0.85,0.1931E-01
,,,,0.90?,0.3407E-01?,0.00?,0.6323E-01?,0.08?,0.1731E-01
