U_wind_ms,Omega_rpm,pitch_deg,r_m,chord_m,twist_deg,a,ap,alpha_deg,cl,cd,W_ms,Np_per_m,Tp_per_m
7.0,72.0,3.0,2.257,0.636,6.16,0.19046084818329176,0.02396211088442955,8.854866854701005,0.9861801779328284,0.017358667491138697,18.323433901965814,123.36212190544454,37.73078351744734
7.0,72.0,3.0,2.343,0.627,5.66,0.19066860169811528,0.022267957464464125,8.757084244663714,0.9827027938933229,0.017064274055533304,18.926965355701686,129.69831466328998,38.22705991322648
7.0,72.0,3.0,2.562,0.605,4.66,0.19271202967887685,0.018813746325281273,8.360812375069198,0.9679323838483963,0.015930707470633115,20.47569564017014,145.22044816848222,39.12338567933988
7.0,72.0,3.0,2.867,0.574,3.42,0.1991511125767206,0.015407932053142297,7.907017093288523,0.9494127232912184,0.014745690970818612,22.654307028563892,166.63740051774312,39.812996629114686
7.0,72.0,3.0,3.172,0.543,2.49,0.20595450508046678,0.01290208050749664,7.4326476889831525,0.9277920177029326,0.013629484555369942,24.85437676498723,186.41573627024678,39.899483597715076
7.0,72.0,3.0,3.476,0.512,1.83,0.2120080843065555,0.010966856351467802,6.929947680085476,0.9018099450175451,0.012575413262559815,27.063915395968518,203.38477454112478,39.39045647725408
7.0,72.0,3.0,3.781,0.482,1.4,0.21804872595484892,0.009447633042067093,6.3694051673603,0.8679136659796249,0.011546041952572342,29.293340815612083,216.54476185826957,38.21086748871995
7.0,72.0,3.0,4.086,0.451,1.13,0.22513064620676712,0.008255562006110375,5.775173213044142,0.8244399270983004,0.010610103609125078,31.532072613845568,223.5626033412588,36.08050609266278
7.0,72.0,3.0,4.391,0.42,0.96,0.23835304396173385,0.007398931465798767,5.122165705216641,0.7652959511624202,0.0097493698314444,33.77576628449441,222.22840291980185,32.626792328711794
7.0,72.0,3.0,4.696,0.389,0.85,0.27251616155305447,0.0069700548234600595,4.278508016404753,0.6710831018969727,0.008867778635368397,36.015628197559394,205.70632560024015,26.612320201263877
7.0,72.0,3.0,5.0,0.358,0.79,0.47026975935663207,0.0075635508222437284,1.78568088243793,0.36181519204535983,0.007442399298501503,38.16481908311219,115.24282752160035,8.861979198910342
8.0,72.0,3.0,1.257,0.737,22.0,0.2834736187684482,0.1173295227303889,2.7289072537756307,0.47651668255991547,0.007798745795318378,12.319687017585535,29.146912787346206,14.717597270072162
8.0,72.0,3.0,1.343,0.728,18.3,0.3025271710009382,0.11441083817388455,5.010745939602897,0.7538752010432602,0.009618751651311368,12.588645386740797,48.05401728494785,23.002742688481554
8.0,72.0,3.0,1.51,0.711,14.29,0.23268646018217548,0.07798996376959724,9.282443320783708,1.0007602876413704,0.018716548415208808,13.722581095674094,74.08630386797908,35.33894736022687
8.0,72.0,3.0,1.648,0.697,11.91,0.20196471448859546,0.05926572596808144,10.965825144819473,1.0540454654739673,0.025267306936913182,14.62868366518688,87.64907900392284,39.948805714283225
