U_wind_ms,Omega_rpm,pitch_deg,T_N,Q_Nm,P_W,CP,CT,CQ
5.0,100.0,0.0,297.61757530264316,56.11983304509328,587.6855173838359,0.39092999345697627,0.9898800746671551,0.07466212903387208
5.0,150.0,0.0,413.95598574256957,19.434681173720293,305.2792580010976,0.20307258695805688,1.3768231988957118,0.02585600481666681
5.0,192.4,0.0,493.14084940096905,-3.1334849282210504,-63.13370778579677,-0.04199671293838664,1.640193124784591,-0.004168805275107435
5.0,250.0,0.0,547.4932699945175,-16.50053645258862,-431.9830341645249,-0.2873562810790943,1.8209700096872095,-0.021952402829876125
5.0,300.0,0.0,561.8537861114922,-19.353943448778708,-608.0220655667548,-0.4044579202357018,1.8687332802254988,-0.02574859091127179
7.0,100.0,0.0,387.34654105744124,144.85856145983587,1516.9553083060198,0.36774153362406514,0.6573060339401469,0.0983268431988602
7.0,150.0,0.0,622.0962973378981,98.0391594344286,1539.9955152165967,0.37332695923147674,1.0556636153655121,0.06654685066529474
7.0,192.4,0.0,760.6789162123841,53.70072466642464,1081.9665441634488,0.2622912053519313,1.290830789794776,0.036450884785327084
7.0,250.0,0.0,919.5727513442739,6.798197665060425,177.97639868504265,0.043145182618736955,1.5604649946155025,0.004614468824699672
7.0,300.0,0.0,1023.2372319659371,-20.82842666229512,-654.3443218810012,-0.15862668011981762,1.736377985685135,-0.014137883338502482
10.0,100.0,0.0,452.98782212983514,276.11389333985636,2891.4579295685617,0.24042570304422864,0.37666090345741327,0.09183585380599951
10.0,150.0,0.0,847.7536776555309,293.64315755039706,4612.535932686188,0.3835339200658247,0.7049100451171839,0.09766611075502057
10.0,192.4,0.0,1145.4753605557662,237.77219857938096,4790.653489187009,0.39834445502409044,0.9524666296028539,0.07908335434968546
10.0,250.0,0.0,1443.8754732320976,143.98473895564686,3769.511651100869,0.31343616643406114,1.2005873307378307,0.04788951862248464
10.0,300.0,0.0,1655.8239429702783,77.7387246948812,2442.234064008782,0.20307258695805697,1.3768231988957118,0.025856004816666816
13.0,100.0,0.0,506.6287065940328,432.497887962487,4529.107291720168,0.17141411033350468,0.24926833135459028,0.08511797728286363
13.0,150.0,0.0,962.678181019558,486.7087638918883,7645.203385402627,0.28934967803108924,0.47365098086813345,0.09578697760464819
13.0,192.4,0.0,1405.815446930415,497.69233640225303,10027.545449688443,0.3795146971301486,0.6916806451902295,0.09794860544478923
13.0,250.0,0.0,1934.9106284706354,402.10784331232594,10527.158720840323,0.39842366944393653,0.9520027929756036,0.07913704835314367
13.0,300.0,0.0,2287.355796336972,292.4321403264053,9187.026637229745,0.3477033985284189,1.1254106906027472,0.05755226318987508
16.0,100.0,0.0,563.5138447262196,612.5604185317054,6414.717702463649,0.13022117740895098,0.18303268140591147,0.07958532126674381
16.0,150.0,0.0,1045.9997210081203,691.4109984956438,10860.658567425487,0.22047544594886592,0.3397469919820118,0.08982977805606916
16.0,192.4,0.0,1556.6365227102117,745.2687406481327,15015.734867657466,0.3048250546358434,0.5056048922177746,0.09682710531103843
16.0,250.0,0.0,2295.4482153276717,740.5297565967137,19387.023692407278,0.39356385873549826,0.7455753675119761,0.09621140511755516
16.0,300.0,0.0,2855.204957612289,630.1534592047188,19796.8547807174,0.40188358367647875,0.9273877194785332,0.0818710513786841
