case,U_wind_ms,Omega_rpm,pitch_deg,Azimuth,BldPitch1,BldPitch2,Case,HWindSpeedX,HWindSpeedY,HWindSpeedZ,PtfmHeave,PtfmPitch,PtfmRoll,PtfmSurge,PtfmSway,PtfmYaw,RotSpeed,RtAeroCp,RtAeroCq,RtAeroCt,RtAeroFxh,RtAeroMxh,RtAeroPwr,RtSpeed,RtTSR,RtVAvgxh,ShearExp,Yaw
0,0.0,1250.0,5.0,176.1739476840816,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0001199999997,0.0,0.0,0.0,-1009.0560704081631,-14.43418877755102,-1889.4310251020408,1250.0001199999997,0.0,0.0,0.0,0.0
1,0.0,1250.0,8.0,176.1739476840816,7.999999520000001,7.999999520000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0001199999997,0.0,0.0,0.0,-1614.491463877551,-18.47579465306123,-2418.4759375510207,1250.0001199999997,0.0,0.0,0.0,0.0
2,0.0,1250.0,12.0,176.1739476840816,12.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0001199999997,0.0,0.0,0.0,-2293.3098304081636,-30.792971706122447,-4030.790903877551,1250.0001199999997,0.0,0.0,0.0,0.0
