U_wind_ms,Omega_rpm,pitch_deg,T_N,Q_Nm,P_W,efficiency,rms
0.0,1250.0,5.0,202.40223693847656,15.811779975891113,2069.75732421875,9.779032552614808e-05,2.0326055505393015e-08
0.0,1250.0,8.0,392.0315856933594,31.61994171142578,4139.041015625,9.471557132201269e-05,3.669783765758439e-08
0.0,1250.0,12.0,669.1300048828125,64.22901916503906,8407.5595703125,7.958670903462917e-05,7.104348753728118e-08
