pitch_deg,Omega_rpm,T_paper_N,T_xrotor_N,T_dynbem_N,CT_paper,CT_xrotor,CT_dynbem,Q_dynbem_Nm
5.0,1250.0,241.98397409632435,202.40223693847656,351.11602598483876,0.00215,0.0017983207815427584,0.003119625829299371,31.93326500557206
8.0,1250.0,523.3606881618177,392.0315856933594,692.7065103090936,0.00465,0.0034831559089330845,0.0061546183077880665,65.33601447446466
12.0,1250.0,900.405485009579,669.1300048828125,1222.4844688075655,0.008,0.005945143747103619,0.010861635022532632,137.1003408581772
